Scholarship_ID ,Scholarship_Name,Description,Level,Host_Institution,Host_Country,Feild_Of_Study,Fully_Funded?,What_It_Covers,Special_Requirements,Application_Link,Application_Open_Date,Application_Deadline,Source_Website,Last_Verified_Date,Notes,Language_Requirements
DAAD-001         ,DAAD Masters Scholarships,Various programs for int'l students to study in Germany. Focus on academic excellence and professional experience.,Master,Various German Universities,Germany,All Disciplines,Yes,"€934/month stipend, travel, health insurance, tuition fees","Min. 2 years professional experience, excellent grades",https://www.daad.de/deutschland/stipendium/en,Varies,Varies (Typically Aug-Oct),https://www.daad.de,22-Aug-2025,"Check specific program deadlines on the DAAD portal.
",English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
EMJMD-001,Erasmus Mundus Joint Masters,Integrated international study programs run by consortia of EU universities.,Master,Multiple European Universities,Multiple,Varies,Yes,"€1400/month, tuition fees, travel, installation grant",Cannot have lived in EU for more than 12 months in last 5 years,https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en,Sept-Nov,Dec-Jan (varies by program),https://erasmus-plus.ec.europa.eu,22-Aug-2025,"Apply directly to the specific program, not to a general portal.",
DSTIP-001,Deutschlandstipendium (Germany Scholarship),"Merit-based scholarship for students at German universities, funded by government and private businesses.","Bachelor, Master",Various German Universities,Germany,All Disciplines,No,€300 per month for min. 2 semesters,"Academic excellence, personal qualifications (e.g., volunteer work)",https://www.deutschlandstipendium.de,Varies by University,Varies by University (Common: Mar/Apr & Sep/Oct),https://www.deutschlandstipendium.de,22-Aug-2025,"Apply through your university's website, not a central portal.",English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
HBS-001,Heinrich Böll Foundation Scholarships,For students worldwide with excellent grades who align with the green-political values of the foundation.,"Master, PhD",Various German Universities,Germany,All Disciplines,Partial,"€934 per month for Master's students, plus various allowances","Political and social engagement in line with foundation values (environment, democracy, human rights). Must be enrolled in Germany.",https://www.boell.de/en/scholarships,Varies,1 Mar / 1 Sep (annual),https://www.boell.de,22-Aug-2025,Requires proof of social/political activism. Strong motivation letter needed.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
KAS-001,Konrad-Adenauer-Stiftung Scholarship,For international students and graduates who demonstrate strong academic merit and political/social engagement.,"Master, PhD",Various German Universities,Germany,All Disciplines,Partial,"€861/month (Master's), tuition fees (up to €1.5k/semester), health insurance","Above-average academic performance, broad general education, active volunteer work",https://www.kas.de/en/web/begabtenfoerderung-und-kultur/foreign-students,Varies,"15 January (Summer Semester), 15 July (Winter Semester)",https://www.kas.de/,23-Aug-2025,For students aligned with conservative political values. Strong interview performance required.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
FES-001,Friedrich Ebert Stiftung Scholarship,Supports highly qualified international students who promote social democracy and political engagement.,"Bachelor, Master, PhD",Various German Universities,Germany,All Disciplines,Yes,"€861/month (Bachelor), €934/month (Master's), plus family & health allowances","Excellent academic record, socio-political engagement, personal suitability",https://www.fes.de/en/stipendienprogramm,Varies,"30 November (Summer Semester), 31 May (Winter Semester)",https://www.fes.de/,23-Aug-2025,For students aligned with social democratic values. Knowledge of German required (B2 level).,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
TUM-001,TUM University Scholarships,Various merit-based and need-based scholarships for international degree students at TUM.,"Bachelor, Master",Technical University of Munich,Germany,All Disciplines,Partial,"Varies: One-time grants, partial tuition support, or monthly stipends","Enrollment at TUM, excellent grades, financial need (for some programs)",https://www.tum.de/en/studies/financing/scholarships,Varies,Varies by scholarship program,https://www.tum.de/,23-Aug-2025,Must be enrolled or applying to a degree program at TUM.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
HUB-001,Humboldt University Berlin Scholarships,"Various funding options for international students, including the Deutschlandstipendium and merit scholarships.","Bachelor, Master",Humboldt University Berlin,Germany,All Disciplines,Partial,"€300/month (Deutschlandstipendium), other amounts vary","Enrollment at HU Berlin, excellent academic achievement",https://www.hu-berlin.de/en/studies/financing/scholarships,Varies,Varies by scholarship program,https://www.hu-berlin.de/,23-Aug-2025,Check the HU Berlin scholarship database regularly for new offers.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
RWTH-001,RWTH Aachen University Scholarships,Merit-based scholarships for excellent international students in engineering and science programs.,Master,RWTH Aachen University,Germany,"Engineering, Natural Sciences",Partial,"Tuition fee waivers, monthly stipends (amount varies)","Outstanding academic achievement, admission to an RWTH Master's program",https://www.rwth-aachen.de/go/id/hygj,Varies,Varies by program (Often with admission deadline),https://www.rwth-aachen.de,23-Aug-2025,One of Germany's top universities for engineering. Highly competitive.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
BFDW-001,Brot für die Welt Scholarship,For students from developing countries pursuing master's degrees in development-related fields.,Master,Various German Universities,Germany,"Development Studies, Social Sciences, Public Health",Yes,"Covers all costs: tuition, travel, living expenses, health insurance","Citizen of a developing country, relevant professional experience, commitment to development work",https://www.brot-fuer-die-welt.de/en/stipendienprogramm/,January,April 30 (annual),https://www.brot-fuer-die-welt.de,23-Aug-2025,Strong focus on social justice and returning to home country to apply knowledge.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
UDK-001,Berlin University of the Arts Scholarships,Scholarships and financial aid for talented international artists and designers.,"Bachelor, Master",Berlin University of the Arts (UdK),Germany,"Fine Arts, Design, Music, Performing Arts",Partial,Varies: One-time grants or partial tuition support,"Artistic talent, enrollment at UdK Berlin, portfolio assessment",https://www.udk-berlin.de/en/study/study-financing/,Varies,Varies,https://www.udk-berlin.de,23-Aug-2025,Admission is highly selective based on artistic portfolio or audition.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
MANN-001,Mannheim Business School Scholarships,Merit-based scholarships for international students in the MBA program.,Master,Mannheim Business School,Germany,Business Administration (MBA),Partial,Tuition reduction (ranges from 25% to 100% of fees),"Outstanding academic and professional background, strong application essays",https://www.mannheim-business-school.com/en/programs/mba/admission-financing/scholarships,Varies,Varies (With application rounds),https://www.mannheim-business-school.com,23-Aug-2025,One of Germany's top-ranked MBA programs. Scholarships are awarded automatically with admission.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
RLS-001,Rosa Luxemburg Stiftung Scholarship,Supports international students who are actively engaged in socio-political movements for social justice.,"Master, PhD",Various German Universities,Germany,All Disciplines,Yes,"€1350/month (PhD), €850/month (Master's), plus travel, health insurance","Proof of socio-political activism, excellent academic grades, admission to a German university",https://www.rosalux.de/en/foundation/scholarships/,Varies,"1 April (Winter Semester), 1 October (Summer Semester)",https://www.rosalux.de,23-Aug-2025,For students with left-wing political alignment. German language skills usually required (B2 level).,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
UNIHD-001,Heidelberg University Merit Scholarship,Merit-based funding for highly qualified international students at Germany's oldest university.,Master,Heidelberg University,Germany,All Disciplines,Partial,€1000-1500 per semester for living costs,"Outstanding academic achievement, admission to a Master's program at Heidelberg University",https://www.uni-heidelberg.de/en/study/prospective-students/financing/scholarships,March / September,"April 15 (Winter), October 15 (Summer)",https://www.uni-heidelberg.de,23-Aug-2025,Must be enrolled at Heidelberg University. Application is submitted after admission.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
EPOS-001,EPOS Development-Related Postgraduate Courses,DAAD-funded program for graduates from developing countries with professional experience.,Master,Various German Universities,Germany,Development-Related Fields,Yes,"Full tuition, monthly stipend, travel, health insurance, family allowance","Min. 2 years professional experience, citizen of a developing country, bachelor's degree",https://www.daad.de/en/study-and-research-in-germany/scholarships/epos/,Varies by course,Varies by course (Typically Aug-Oct),https://www.daad.de,23-Aug-2025,Must apply directly to the specific postgraduate course's deadline.,English-taught programs: IELTS 6.0-6.5 or TOEFL 80-90. For German-taught programs: German C1 / DSH-2 / TestDaF 4x4.
FULL-001,Fulbright Foreign Student Program,For international students to study and research in the USA. Funded by the U.S. government.,"Master, PhD",Various U.S. Universities,USA,All Disciplines,Yes,"Full tuition, airfare, living stipend, health insurance",Varies by country. Requires strong academic record and project proposal.,https://foreign.fulbrightonline.org/,Varies by Country,Varies by Country (Typically Feb-Oct),https://fulbrightonline.org/,23-Aug-2025,Applicants apply through the U.S. Embassy or Fulbright Commission in their home country.,ENG: IELTS 6.5
CHEV-001,Chevening Scholarship,UK government's global scholarship programme for future leaders.,Master,Various UK Universities,United Kingdom,All Disciplines,Yes,"Full tuition fees, living allowance, travel costs to/from UK","Leadership potential, min. 2 years work experience, apply to 3 UK university courses",https://www.chevening.org/,Early August,Early November (annual),https://www.chevening.org/,23-Aug-2025,One of the most prestigious UK scholarships. Requires strong leadership essay.,ENG: IELTS 6.5
STAN-001,Stanford University Financial Aid,Need-based financial aid for international undergraduates. Stanford meets the full demonstrated need.,Bachelor,Stanford University,USA,All Disciplines,Yes (Need-Based),"Full tuition, room, board, and travel costs based on calculated need","Admitted to Stanford, demonstration of financial need",https://financialaid.stanford.edu/undergrad/how/international.html,When applying,Varies (With admission application),https://www.stanford.edu,23-Aug-2025,Must apply for financial aid at the same time as applying for admission.,ENG: IELTS 6.5
YALE-001,Yale University Financial Aid,Need-based scholarships for international students. Yale meets 100% of demonstrated need without loans.,Bachelor,Yale University,USA,All Disciplines,Yes (Need-Based),"Full tuition, room, board based on family's financial need","Admitted to Yale, demonstration of financial need",https://admissions.yale.edu/financial-aid,When applying,Varies (With admission application),https://www.yale.edu,23-Aug-2025,Application for aid does not affect admission decision.,ENG: IELTS 6.5
GATES-001,The Gates Scholarship,"A highly selective, last-dollar scholarship for outstanding minority high school seniors.",Bachelor,Accredited US Universities,USA,All Disciplines,Yes,Covers full cost of attendance not already covered by other financial aid,"Pell-eligible, minority student, US citizen/national/Permanent Resident, min 3.3 GPA",https://www.thegatesscholarship.org/scholarship,July,September 15 (annual),https://www.thegatesscholarship.org,23-Aug-2025,Extremely competitive. Focus on leadership and community impact.,ENG: IELTS 6.5
KNIGHT-001,Knight-Hennessy Scholars,Covers graduate study at Stanford for future global leaders. One of the largest fully-funded scholarships in the world.,"Master, PhD, Other Graduate",Stanford University,USA,All Disciplines,Yes,"Full tuition, stipend, travel costs, and academic expenses","Exceptional leadership potential, independence of thought, civic mindset",https://knight-hennessy.stanford.edu/,Early Summer,Early October (annual),https://knight-hennessy.stanford.edu,23-Aug-2025,Must apply to both Knight-Hennessy and your chosen Stanford graduate program separately.,ENG: IELTS 6.5
MIT-001,MIT Need-Based Financial Aid,MIT is need-blind for all students and meets their full demonstrated financial need.,Bachelor,Massachusetts Institute of Technology (MIT),USA,All Disciplines,Yes (Need-Based),"Full tuition, room, board based on calculated family need","Admitted to MIT, demonstration of financial need",https://sfs.mit.edu/undergraduate-students/,When applying,Varies (With admission application),https://www.mit.edu,23-Aug-2025,Application for financial aid does not affect admission decision.,ENG: IELTS 6.5
HUMB-001,Hubert H. Humphrey Fellowship,A non-degree program for experienced professionals from designated countries for leadership development.,Professional Development,Various US Universities,USA,"Public Policy, Administration, Journalism, Law, Human Rights",Yes,"Tuition, living allowance, airfare, professional development funds","Mid-career professional, demonstrated leadership, commitment to public service",https://www.humphreyfellowship.org/,Varies by Country,Varies by Country (Typically Apr-Oct),https://www.humphreyfellowship.org,23-Aug-2025,"This is a non-degree fellowship focused on professional enrichment, not a degree program.",ENG: IELTS 6.5
HUMB-001,Hubert H. Humphrey Fellowship,A non-degree program for experienced professionals from designated countries for leadership development.,Professional Development,Various US Universities,USA,"Public Policy, Administration, Journalism, Law, Human Rights",Yes,"Tuition, living allowance, airfare, professional development funds","Mid-career professional, demonstrated leadership, commitment to public service",https://www.humphreyfellowship.org/,Varies by Country,Varies by Country (Typically Apr-Oct),https://www.humphreyfellowship.org,23-Aug-2025,"This is a non-degree fellowship focused on professional enrichment, not a degree program.",ENG: IELTS 6.5
HARV-001,Harvard University Graduate Scholarships,Need-based and merit-based funding for graduate and professional schools at Harvard.,"Master, PhD",Harvard University,USA,All Disciplines,Varies,"Full tuition, living stipend, health insurance (varies by school)","Admission to a Harvard graduate program, academic excellence",https://gsas.harvard.edu/financial-support,Varies by School,Varies by Program,https://www.harvard.edu,23-Aug-2025,Funding offers are often made at the time of admission. Check specific school websites.,ENG: IELTS 6.5
ROTARY-001,Rotary Peace Fellowship,Fully-funded fellowship for leaders to study peace and conflict resolution at Rotary partner universities.,"Master, Professional Development","Duke University, UNC-Chapel Hill, others","USA, Japan, UK, Australia, Sweden, Thailand","Peace, Conflict Resolution, International Development",Yes,"Full tuition, room, board, round-trip transportation, internship funding","Min. 3 years related work experience, proficiency in English",https://www.rotary.org/en/our-programs/peace-fellowships,February,15 May (annual),https://www.rotary.org,23-Aug-2025,For dedicated leaders working in peace and development. Strong interview required., ENG: IELTS 6.0 | FRA: B2
AAUW-001,AAUW International Fellowships,For full-time study or research in the United States to women who are not U.S. citizens or permanent residents.,"Master, PhD, Postdoctoral",Accredited US Institutions,USA,All Disciplines,Yes,"$20,000–$50,000 (amount varies by degree level)","Identify as a woman, hold academic degree equivalent to U.S. bachelor’s degree",https://www.aauw.org/resources/programs/fellowships-grants/current-opportunities/international/,August,15 November (annual),https://www.aauw.org,23-Aug-2025,One of the largest sources of funding for women in the world.,ENG: IELTS 6.5
RHODES-001,Rhodes Scholarship,The oldest and perhaps most prestigious international scholarship program in the world.,"Master, PhD",University of Oxford,United Kingdom,All Disciplines,Yes,"All tuition fees, living stipend, travel to and from Oxford.","Exceptional academic achievement, leadership, commitment to service.",https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,June,"July 31 (annual, varies by country)",https://www.rhodeshouse.ox.ac.uk,23-Aug-2025,Applicants must be endorsed by their university. Country-specific deadlines apply.,ENG: IELTS 6.5
GATESCB-001,Gates Cambridge Scholarship,For outstanding applicants from outside the UK to pursue a full-time postgraduate degree at Cambridge.,"Master, PhD",University of Cambridge,United Kingdom,All Disciplines,Yes,"Full cost of studying at Cambridge, including tuition, living allowance, airfare.","Outstanding intellectual ability, leadership potential, commitment to improving others' lives.",https://www.gatescambridge.org/,September,Dependent on course (Usually Dec/Jan),https://www.gatescambridge.org,23-Aug-2025,Separate application required in addition to the University application.,ENG: IELTS 6.5
COMM-001,Commonwealth Master's Scholarships,For students from low and middle-income Commonwealth countries to study in the UK.,Master,Various UK Universities,United Kingdom,Development-Related Fields,Yes,"Approved airfare, tuition fees, stipend, thesis grant.","Citizen of a Commonwealth country, permanent resident in a developing Commonwealth country.",https://cscuk.fcdo.gov.uk/scholarships/mscs/,Usually October,December (annual),https://cscuk.fcdo.gov.uk,23-Aug-2025,Must be unable to afford to study in the UK without this scholarship.,ENG: IELTS 6.5
